Name, Colour, Price, Price_Range
Asiimov,Covert,10861,1744 - 10861
Neon Rider,Covert,6628,1434 - 6628
The Empress,Covert,7970,2325 - 7970
Bloodsport,Covert,4219,3120 - 4219
Neon Revolution,Covert,4172,1494 - 4172
Fuel Injector,Covert,12121,2558 - 12121
Aquamarine Revenge,Covert,4042,1361 - 4042
Wasteland Rebel,Covert,11971,1743 - 11971
Jaguar,Covert,4181,1205 - 4181
Vulcan,Covert,13182,1722 - 13182
Fire Serpent,Covert,86625,17704 - 86625
Wild Lotus,Covert,210938,48373 - 210938
Phantom Disruptor,Classified,14329,2859 - 14329
Point Disarray,Classified,2807,1079 - 2807
Frontside Misty,Classified,3013,967 - 3013
Cartel,Classified,907,420 - 907
Redline,Classified,3303,661 - 3303
Red Laminate,Classified,13778,1115 - 13778
Case Hardened,Classified,8306,3367 - 8306
Hydroponic,Classified,31580,7445 - 31580
Jet Set,Classified,26536,4498 - 26536
Rat Rod,Restricted,646,182 - 646
Orbit Mk01,Restricted,1072,771 - 1072
Blue Laminate,Restricted,835,429 - 835
Safety Net,Restricted,1865,854 - 1865
First Class,Restricted,3713,1330 - 3713
Emerald Pinstripe,Restricted,569,131 - 569
Uncharted,Mil-Spec,105,31 - 105
Elite Build,Mil-Spec,488,95 - 488
Black Laminate,Mil-Spec,6451,1320 - 6451
Baroque Purple,Industrial,679,63 - 679
Safari Mesh,Industrial,243,14 - 243
Jungle Spray,Industrial,2885,152 - 2885
Predator,Industrial,1498,240 - 1498
