Name, Colour, Price, Price_Range
Containment Breach,Covert,16054,1979 - 16054
Wildfire,Covert,9767,2349 - 9767
Neo-Noir,Covert,4219,2600 - 4219
Oni Taiji,Covert,10970,3563 - 10970
Hyper Beast,Covert,5207,1558 - 5207
Man-o'-war,Covert,1210,1088 - 1210
Asiimov,Covert,4951,3246 - 4951
Lightning Strike,Covert,16531,11974 - 16531
The Prince,Covert,191659,90571 - 191659
Gungnir,Covert,294860,140059 - 294860
Medusa,Covert,147356,88458 - 147356
Dragon Lore,Covert,254317,103201 - 254317
Mortis,Classified,628,306 - 628
Fever Dream,Classified,704,413 - 704
Elite Build,Classified,1322,299 - 1322
Corticera,Classified,1394,565 - 1394
Redline,Classified,2263,1471 - 2263
Electric Hive,Classified,1695,1115 - 1695
Graphite,Classified,5888,5598 - 5888
BOOM,Classified,13306,2272 - 13306
Atheris,Restricted,951,206 - 951
PAW,Restricted,348,153 - 348
Phobos,Restricted,314,146 - 314
Worm God,Restricted,195,141 - 195
Pink DDPAT,Restricted,4463,1056 - 4463
Pit Viper,Restricted,110,77 - 110
Acheron,Mil-Spec,529,150 - 529
Snake Camo,Mil-Spec,5750,2147 - 5750
Sun in Leo,Industrial,540,217 - 540
Safari Mesh,Industrial,187,11 - 187
