Name, Colour, Price, Price_Range
Cobra Strike,Classified,988,465 - 988
Twin Turbo,Classified,887,231 - 887
Royal Consorts,Restricted,115,25 - 115
Urban Shock,Restricted,121,71 - 121
Marina,Restricted,494,165 - 494
Hemoglobin,Restricted,278,261 - 278
Duelist,Restricted,1645,1132 - 1645
Cobalt Quartz,Restricted,26,16 - 26
Demolition,Restricted,162,134 - 162
Balance,Mil-Spec,44,7 - 44
Elite 1.6,Mil-Spec,17,6 - 17
Shred,Mil-Spec,19,6 - 19
Ventilators,Mil-Spec,21,6 - 21
Cartel,Mil-Spec,47,7 - 47
Dualing Dragons,Mil-Spec,93,12 - 93
Retribution,Mil-Spec,232,38 - 232
Panther,Mil-Spec,63,22 - 63
Black Limba,Mil-Spec,448,93 - 448
Emerald,Mil-Spec,282,264 - 282
Anodized Navy,Mil-Spec,139,26 - 139
Pyre,Industrial,181,72 - 181
Stained,Industrial,16,5 - 16
Moon in Libra,Consumer,58,38 - 58
Briar,Consumer,47,26 - 47
Contractor,Consumer,8,2 - 8
Colony,Consumer,13,2 - 13
