Name, Colour, Price, Price_Range
Wasteland Rebel,Covert,932,565 - 932
Water Elemental,Classified,855,343 - 855
Twilight Galaxy,Classified,2469,1698 - 2469
Moonrise,Restricted,127,35 - 127
Weasel,Restricted,236,36 - 236
Royal Legion,Restricted,329,48 - 329
Grinder,Restricted,100,81 - 100
Steel Disruption,Restricted,130,100 - 130
Dragon Tattoo,Restricted,1552,1532 - 1552
Synth Leaf,Restricted,2771,1100 - 2771
Nuclear Garden,Restricted,1243,292 - 1243
Fade,Restricted,51005,42917 - 51005
Brass,Restricted,1419,259 - 1419
Sacrifice,Mil-Spec,116,10 - 116
Oxide Blaze,Mil-Spec,27,6 - 27
Warhawk,Mil-Spec,62,7 - 62
Off World,Mil-Spec,47,7 - 47
Ironwork,Mil-Spec,38,7 - 38
Wraiths,Mil-Spec,48,7 - 48
Bunsen Burner,Mil-Spec,64,14 - 64
Catacombs,Mil-Spec,30,10 - 30
Blue Fissure,Mil-Spec,665,37 - 665
Reactor,Mil-Spec,622,185 - 622
Candy Apple,Mil-Spec,90,54 - 90
High Beam,Industrial,52,27 - 52
Night,Industrial,1324,24 - 1324
Death Rattle,Industrial,10,6 - 10
Groundwater,Industrial,2711,138 - 2711
Sand Dune,Industrial,1943,96 - 1943
