Name, Colour, Price, Price_Range
Mecha Industries,Covert,2265,607 - 2265
Chantico's Fire,Covert,6843,854 - 6843
Golden Coil,Covert,4182,815 - 4182
Hyper Beast,Covert,4275,628 - 4275
Cyrex,Covert,939,519 - 939
Nightmare,Classified,1471,246 - 1471
Leaded Glass,Classified,579,215 - 579
Decimator,Classified,917,325 - 917
Atomic Alloy,Classified,1174,332 - 1174
Guardian,Classified,695,463 - 695
Control Panel,Classified,2595,459 - 2595
Hot Rod,Classified,8099,7448 - 8099
Knight,Classified,66048,55082 - 66048
Master Piece,Classified,7062,1393 - 7062
Flashback,Restricted,212,52 - 212
Basilisk,Restricted,226,91 - 226
Bright Water,Restricted,646,625 - 646
Dark Water,Restricted,1632,1331 - 1632
Icarus Fell,Restricted,6446,6430 - 6446
Nitro,Restricted,276,56 - 276
Briefing,Mil-Spec,317,86 - 317
Blood Tiger,Mil-Spec,166,147 - 166
VariCamo,Mil-Spec,124,35 - 124
Moss Quartz,Industrial,78,68 - 78
Boreal Forest,Industrial,154,6 - 154
