Name, Colour, Price, Price_Range
Hydra,Classified,857,206 - 857
Airlock,Classified,644,139 - 644
Wild Lily,Classified,25612,8140 - 25612
Goo,Restricted,78,27 - 78
Ruby Poison Dart,Restricted,141,53 - 141
Rose Iron,Restricted,494,378 - 494
Hypnotic,Restricted,394,340 - 394
Stained Glass,Restricted,2330,1150 - 2330
Bulldozer,Restricted,5919,801 - 5919
Modest Threat,Mil-Spec,21,6 - 21
Capillary,Mil-Spec,27,7 - 27
Black Sand,Mil-Spec,22,5 - 22
Sand Scale,Mil-Spec,18,6 - 18
Bioleak,Mil-Spec,38,13 - 38
Deadly Poison,Mil-Spec,113,11 - 113
Dart,Mil-Spec,48,18 - 48
Pandora's Box,Mil-Spec,1578,1348 - 1578
Setting Sun,Mil-Spec,343,83 - 343
Dark Age,Mil-Spec,1703,1487 - 1703
Hot Rod,Mil-Spec,1157,1103 - 1157
Orange Peel,Industrial,28,5 - 28
Slide,Consumer,10,2 - 10
Green Plaid,Consumer,74,40 - 74
Storm,Consumer,159,4 - 159
Sand Dashed,Consumer,13,2 - 13
Dry Season,Consumer,391,29 - 391
