Name, Colour, Price, Price_Range
Stalker,Covert,4217,590 - 4217
Neon Rider,Covert,998,566 - 998
Pipe Down,Restricted,105,30 - 105
Last Dive,Restricted,86,39 - 86
Malachite,Restricted,139,72 - 139
Tatter,Restricted,160,93 - 160
Curse,Restricted,387,209 - 387
Heat,Restricted,230,61 - 230
Graven,Restricted,1399,606 - 1399
Red Filigree,Restricted,2221,1274 - 2221
Classic Crate,Mil-Spec,19,5 - 19
Whitefish,Mil-Spec,38,10 - 38
Oceanic,Mil-Spec,17,5 - 17
Aloha,Mil-Spec,95,45 - 95
Carnivore,Mil-Spec,29,7 - 29
Lapis Gator,Mil-Spec,26,8 - 26
Rangeen,Mil-Spec,32,12 - 32
Ultraviolet,Mil-Spec,814,38 - 814
Copper Borre,Mil-Spec,689,522 - 689
Fade,Mil-Spec,1144,733 - 1144
Nuclear Garden,Mil-Spec,463,114 - 463
Amber Fade,Mil-Spec,792,385 - 792
Calf Skin,Industrial,61,17 - 61
Commuter,Industrial,364,122 - 364
Silver,Industrial,14,13 - 14
Candy Apple,Industrial,17,13 - 17
Palm,Industrial,27,5 - 27
Surfwood,Consumer,7,3 - 7
Indigo,Consumer,263,21 - 263
Tornado,Consumer,480,47 - 480
Urban DDPAT,Consumer,383,49 - 383
