Name, Colour, Price, Price_Range
Cinquedea,Classified,25603,8567 - 25603
SWAG-7,Restricted,130,30 - 130
Petroglyph,Restricted,73,27 - 73
Praetorian,Restricted,123,57 - 123
Heat,Restricted,255,30 - 255
Core Breach,Restricted,241,35 - 241
Bulldozer,Restricted,7980,145 - 7980
Popdog,Mil-Spec,17,5 - 17
Hard Water,Mil-Spec,96,52 - 96
Sonar,Mil-Spec,17,7 - 17
Cobalt Core,Mil-Spec,31,7 - 31
Firestarter,Mil-Spec,214,19 - 214
Heaven Guard,Mil-Spec,28,10 - 28
Memento,Mil-Spec,141,79 - 141
Counter Terrace,Mil-Spec,1220,886 - 1220
Hazard,Mil-Spec,8941,179 - 8941
Chainmail,Industrial,78,73 - 78
Silver,Industrial,206,191 - 206
Metallic DDPAT,Industrial,16,15 - 16
Rust Coat,Consumer,7,2 - 7
Seabird,Consumer,131,14 - 131
Storm,Consumer,87,4 - 87
Sand Dune,Consumer,1083,27 - 1083
Irradiated Alert,Consumer,417,42 - 417
