Name, Colour, Price, Price_Range
Hyper Beast,Classified,875,283 - 875
Bloomstick,Classified,1954,218 - 1954
Antique,Classified,406,310 - 406
Toy Soldier,Restricted,127,27 - 127
Wild Six,Restricted,89,30 - 89
Gila,Restricted,72,29 - 72
Koi,Restricted,73,34 - 73
Rising Skull,Restricted,208,148 - 208
Graphite,Restricted,301,266 - 301
Baroque Orange,Restricted,3001,1143 - 3001
Plume,Mil-Spec,34,8 - 34
Wood Fired,Mil-Spec,16,5 - 16
Exo,Mil-Spec,21,7 - 21
Ranger,Mil-Spec,36,10 - 36
Ghost Camo,Mil-Spec,71,41 - 71
Tempest,Mil-Spec,472,131 - 472
Modern Hunter,Mil-Spec,6894,295 - 6894
Blaze Orange,Mil-Spec,7029,334 - 7029
Green Apple,Industrial,190,175 - 190
Caged Steel,Industrial,13,7 - 13
Candy Apple,Industrial,13,6 - 13
Mandrel,Consumer,6,2 - 6
Moon in Libra,Consumer,63,40 - 63
Sand Dune,Consumer,7,2 - 7
Polar Mesh,Consumer,12,2 - 12
Predator,Consumer,13,2 - 13
Forest Leaves,Consumer,315,36 - 315
Walnut,Consumer,386,29 - 386
