Name, Colour, Price, Price_Range
Asiimov,Covert,2871,437 - 2871
Death by Kitty,Covert,3626,2366 - 3626
Nostalgia,Classified,593,244 - 593
Shallow Grave,Classified,413,131 - 413
Shapewood,Classified,788,157 - 788
Trigon,Classified,463,300 - 463
Cold Blooded,Classified,2130,2054 - 2130
Emerald Dragon,Classified,10161,3827 - 10161
Death Grip,Restricted,385,108 - 385
Chopper,Restricted,141,53 - 141
Virus,Restricted,252,47 - 252
Blind Spot,Restricted,230,134 - 230
Astral Jörmungandr,Restricted,4020,2855 - 4020
Off World,Mil-Spec,35,10 - 35
Traction,Mil-Spec,49,7 - 49
Grim,Mil-Spec,88,16 - 88
Elite Build,Mil-Spec,112,11 - 112
Module,Mil-Spec,65,45 - 65
Desert Warfare,Mil-Spec,213,97 - 213
Baroque Red,Mil-Spec,281,175 - 281
Facility Negative,Mil-Spec,56,26 - 56
Teardown,Mil-Spec,91,22 - 91
Glacier Mesh,Mil-Spec,1040,189 - 1040
Sunset Lily,Industrial,37,25 - 37
Leather,Industrial,387,102 - 387
Ash Wood,Industrial,16,11 - 16
Fallout Warning,Industrial,2081,201 - 2081
Storm,Consumer,100,21 - 100
Scorched,Consumer,360,21 - 360
Sand Spray,Consumer,13,2 - 13
