Name, Colour, Price, Price_Range
Judgement of Anubis,Covert,783,374 - 783
High Roller,Classified,644,147 - 644
Embargo,Restricted,243,27 - 243
Fuel Rod,Restricted,304,73 - 304
Blue Streak,Restricted,387,45 - 387
Osiris,Restricted,73,31 - 73
Antique,Restricted,162,85 - 162
Night Riot,Mil-Spec,20,5 - 20
Jungle Slipstream,Mil-Spec,16,5 - 16
Harvester,Mil-Spec,27,7 - 27
Photic Zone,Mil-Spec,96,7 - 96
Water Sigil,Mil-Spec,95,41 - 95
Cobalt Halftone,Mil-Spec,79,25 - 79
Brass,Mil-Spec,147,24 - 147
Rust Coat,Mil-Spec,608,182 - 608
Modern Hunter,Mil-Spec,15263,275 - 15263
Candy Apple,Industrial,25,20 - 25
Chemical Green,Industrial,85,22 - 85
Night Ops,Industrial,13,5 - 13
Carbon Fiber,Industrial,417,352 - 417
Seabird,Consumer,7,3 - 7
Facility Sketch,Consumer,6,2 - 6
Bamboo Print,Consumer,74,21 - 74
Sand Dashed,Consumer,12,2 - 12
Urban Dashed,Consumer,11,2 - 11
Forest Leaves,Consumer,576,35 - 576
Irradiated Alert,Consumer,426,40 - 426
