Name, Colour, Price, Price_Range
Colony IV,Classified,4752,212 - 4752
Cyrex,Classified,2482,386 - 2482
Integrale,Classified,32180,4275 - 32180
Phantom,Restricted,149,43 - 149
Triarch,Restricted,397,30 - 397
Tiger Moth,Restricted,1140,201 - 1140
Pulse,Restricted,596,136 - 596
Bulldozer,Restricted,10677,2899 - 10677
Danger Close,Mil-Spec,46,6 - 46
Aloha,Mil-Spec,31,5 - 31
Aerial,Mil-Spec,76,15 - 76
Atlas,Mil-Spec,60,6 - 60
Wave Spray,Mil-Spec,1029,95 - 1029
Ultraviolet,Mil-Spec,4752,217 - 4752
Anodized Navy,Mil-Spec,88,77 - 88
Damascus Steel,Mil-Spec,154,29 - 154
Candy Apple,Industrial,331,24 - 331
Fallout Warning,Industrial,267,29 - 267
Traveler,Industrial,911,131 - 911
Gator Mesh,Industrial,275,133 - 275
Barricade,Consumer,15,7 - 15
Army Sheen,Consumer,7,1 - 7
Waves Perforated,Consumer,26,1 - 26
Tornado,Consumer,2479,189 - 2479
