Name, Colour, Price, Price_Range
The Kraken,Covert,679,392 - 679
Devourer,Classified,585,167 - 585
Wasteland Princess,Classified,370,132 - 370
Limelight,Restricted,160,46 - 160
Serenity,Restricted,130,68 - 130
Highwayman,Restricted,132,36 - 132
Orange DDPAT,Restricted,2219,362 - 2219
Black Sand,Mil-Spec,21,5 - 21
Morris,Mil-Spec,19,5 - 19
Zander,Mil-Spec,27,5 - 27
Fubar,Mil-Spec,13,5 - 13
Yorick,Mil-Spec,64,10 - 64
Origami,Mil-Spec,19,7 - 19
Brake Light,Mil-Spec,226,209 - 226
First Class,Mil-Spec,888,529 - 888
Full Stop,Mil-Spec,85,23 - 85
Amber Fade,Mil-Spec,93,34 - 93
Copper,Mil-Spec,3585,2213 - 3585
Rust Coat,Industrial,199,165 - 199
Snake Camo,Industrial,29,6 - 29
Mosaico,Industrial,1036,73 - 1036
Jungle Thicket,Consumer,7,3 - 7
Bamboo Shadow,Consumer,64,21 - 64
Sage Spray,Consumer,108,4 - 108
Forest DDPAT,Consumer,8,2 - 8
Irradiated Alert,Consumer,428,29 - 428
