Name, Colour, Price, Price_Range
Neo-Noir,Covert,4137,1080 - 4137
Kill Confirmed,Covert,10880,2899 - 10880
Cortex,Classified,1355,325 - 1355
Caiman,Classified,915,485 - 915
Orion,Classified,3652,1092 - 3652
Serum,Classified,1976,1231 - 1976
Flashback,Restricted,123,82 - 123
Cyrex,Restricted,285,124 - 285
Guardian,Restricted,170,95 - 170
Overgrowth,Restricted,3787,591 - 3787
Dark Water,Restricted,1419,1249 - 1419
Road Rash,Restricted,2236,1026 - 2236
Blueprint,Mil-Spec,1116,173 - 1116
Lead Conduit,Mil-Spec,201,56 - 201
Torque,Mil-Spec,143,86 - 143
Blood Tiger,Mil-Spec,139,86 - 139
Stainless,Mil-Spec,984,173 - 984
Check Engine,Mil-Spec,252,147 - 252
Business Class,Mil-Spec,2136,585 - 2136
Night Ops,Mil-Spec,91,32 - 91
Pathfinder,Industrial,78,70 - 78
Para Green,Industrial,311,99 - 311
Royal Blue,Industrial,1513,162 - 1513
Forest Leaves,Industrial,100,7 - 100
