Name, Colour, Price, Price_Range
Incinegator,Classified,1012,155 - 1012
Tranquility,Classified,975,219 - 975
Ziggy,Restricted,89,27 - 89
Seasons,Restricted,82,39 - 82
Black Tie,Restricted,157,30 - 157
Teclu Burner,Restricted,187,70 - 187
Heaven Guard,Restricted,202,87 - 202
Oxide Blaze,Mil-Spec,16,5 - 16
Slipstream,Mil-Spec,22,5 - 22
Scumbria,Mil-Spec,40,6 - 40
Quicksilver,Mil-Spec,22,10 - 22
Red Python,Mil-Spec,58,31 - 58
Frost Borre,Mil-Spec,699,508 - 699
Bone Machine,Mil-Spec,209,91 - 209
Red Leather,Mil-Spec,1101,656 - 1101
VariCamo Blue,Mil-Spec,353,189 - 353
Blaze Orange,Mil-Spec,7210,259 - 7210
Banana Leaf,Industrial,38,30 - 38
Blue Steel,Industrial,18,5 - 18
CaliCamo,Industrial,14,6 - 14
Fallout Warning,Industrial,1785,194 - 1785
Blue Spruce,Consumer,12,2 - 12
Jungle,Consumer,422,29 - 422
Grassland,Consumer,381,35 - 381
Urban Perforated,Consumer,323,43 - 323
